rank,name_a,name_b,smi_a,smi_b,tox_pred,tox_unc,perm_pred,perm_unc,iri_pred,iri_unc,composite_score
3256,AMINOMETHYLPROPANOL,DIAZOLIDINYL UREA,CC(C)(N)CO,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,44.479800000000004,1.3623269504784818,38.31937599999995,0.9674176945415055,64.54878410678211,1.0656562805367922,0.49344068881306513
3257,ALCOHOL,PECTIN,CCO,O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,47.343066666666665,1.7918076285633386,43.85009199999996,1.092302689814501,69.51522303146854,1.4155600081134434,0.4934133358014438
3258,AMINOMETHYLPROPANOL,XYLITOL,CC(C)(N)CO,OC[C@@H](O)C(O)[C@@H](O)CO,38.1792,1.853694473207491,39.6659919999999,1.044936927780812,72.34260216666672,1.1430760830193785,0.4933907599119141
3259,DIMETHYL SULFOXIDE,LYSINE,CS(C)=O,NCCCC[C@H](N)C(=O)O,46.7886,1.7266151858477323,40.89810400000003,1.440512049593466,65.03655892063475,1.5176553431727249,0.4933822999076536
3260,CITRIC ACID MONOHYDRATE,NIACINAMIDE,O.O=C(O)CC(O)(CC(=O)O)C(=O)O,NC(=O)c1cccnc1,54.878266666666676,2.0583718916766327,37.11348399999993,1.297020921490471,50.92872507142859,1.3816983166266514,0.49336527352706644
3261,HISTIDINE,"LACTIC ACID, L-",N[C@@H](Cc1cnc[nH]1)C(=O)O,C[C@H](O)C(=O)O,48.35166666666667,1.772668501942136,44.58431199999988,1.5336638219688103,70.07621065079377,0.5994706309242628,0.49335551290537943
3262,HISTIDINE,LACTIC ACID,N[C@@H](Cc1cnc[nH]1)C(=O)O,CC(O)C(=O)O,48.35166666666667,1.772668501942136,44.58431199999988,1.5336638219688112,70.07621065079377,0.5994706309242704,0.4933555129053794
3263,CAFFEINE,GLYCINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O,NCC(=O)O,44.544399999999996,1.7819217690771683,40.66756399999988,0.9281754684282496,68.21897942063477,0.6834094819645984,0.49334674701719566
3264,DIETHANOLAMINE,MALTOL,OCCNCCO,Cc1occc(=O)c1O,48.6972,2.0557735283829293,36.116635999999914,0.8479669557712756,55.672480572150086,1.7118132086309223,0.4933190368645805
3265,DIISOPROPANOLAMINE,DIPROPYLENE GLYCOL,CC(O)CNCC(C)O,CC(CO)OC(C)CO.CC(O)COCC(C)O,49.400800000000004,2.1752076498578234,41.36270799999997,1.2481581123944172,62.218898467532455,2.225204015620946,0.49329788489010107
3266,ADIPIC ACID,ETHYLENEDIAMINE,O=C(O)CCCCC(=O)O,NCCN,48.2252,2.073793706658834,41.978263999999875,1.0713408815797127,65.79706776984118,1.0785439311375165,0.493276151668741
3267,METHYL ETHYL KETONE,TROMETHAMINE,CCC(C)=O,NC(CO)(CO)CO,41.74720000000001,2.6998953987968575,40.64730799999985,1.2580448385395409,69.24943664357866,1.19334329397868,0.49327010777108055
3268,DL-LACTIDE AND GLYCOLIDE (50:50) COPOLYMER 12000 ACID,PIPERAZINE,CC1OC(=O)C(C)OC1=O.O=C1COC(=O)CO1,C1CNCCN1,49.3216,2.3478823972062814,43.420263999999904,1.0267926641732494,66.35303443073587,1.4744164566468319,0.4932669946979446
3269,DIAZOLIDINYL UREA,METHYLPARABEN,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,COC(=O)c1ccc(O)cc1,49.8368,1.8039233686606546,32.47214799999996,1.0744953022959123,49.43793328138523,1.1073675652650048,0.49323514821651576
3270,GLYCERYL MONOCAPRYLATE,NITRIC ACID,CCCCCCCC(=O)OCC(O)CO,O=[N+]([O-])O,53.53920000000001,2.4137196891473898,41.401459999999915,1.1502945192393155,58.68324284920631,1.5641371268024669,0.4932272608911725
3271,2-AMINOETHANOL,ACESULFAME,NCCO,CC1=CC(=O)NS(=O)(=O)O1,49.51,1.1168634970806015,40.894175999999845,0.9355062605798012,63.390914031746,1.6010525184396365,0.4932136599586796
3272,BUTYLENE GLYCOL,TRIETHYL CITRATE,CC(O)CCO,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,64.68800000000002,2.497115584028901,48.76023599999995,1.0348824367627305,59.31846750793649,1.427740852690504,0.4932081722983883
3273,ACESULFAME,ACETONE,CC1=CC(=O)NS(=O)(=O)O1,CC(C)=O,49.51,2.1728405739952477,40.8438679999999,1.2270427822109504,61.797750952380916,1.7692323191773316,0.4932073237132599
3274,ETHYLENE GLYCOL MONOETHYL ETHER,"MALIC ACID, L-",CCOCCO,O=C(O)C[C@H](O)C(=O)O,42.254866666666665,1.2385029960040923,37.08675199999993,1.3571023807391969,64.03008878643577,1.6747743843952603,0.4931871827872248
3275,ETHYLENE GLYCOL MONOETHYL ETHER,MALIC ACID,CCOCCO,O=C(O)CC(O)C(=O)O,42.254866666666665,1.2385029960040923,37.08675199999993,1.3571023807391978,64.03008878643577,1.6747743843952585,0.4931871827872248
3276,METHYL ETHYL KETONE,PROLINE,CCC(C)=O,O=C(O)[C@@H]1CCCN1,43.79506666666667,3.0067746913336304,48.0873399999998,1.2804608454146382,78.77200904761915,1.0569303841869158,0.49318597823674654
